"COUNTRY","INDICATOR","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2011","34.902","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2012","36.821","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2013","37.603","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2014","38.853","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2015","41.366","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2016","41.522","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2017","41.121","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2018","38.949","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2019","38.129","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2020","42.479","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2021","37.883","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2022","37.715","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2023","37.835","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2024","32.012","Units"
"Argentina","Expenditure, General government, Percent of GDP","Annual","2025","33.654","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2011","2.368","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2012","-5.61","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2013","-3.807","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2014","-7.851","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2015","-1.677","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2016","6.894","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2017","-0.246","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2018","-0.417","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2019","12.099","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2020","-12.796","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2021","12.578","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2022","-1.816","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2023","-14.38","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2024","20.14","Units"
"Argentina","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2025","5.284","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2011","6.004","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2012","-1.026","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2013","2.405","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2014","-2.513","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2015","2.731","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2016","-2.08","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2017","2.818","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2018","-2.617","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2019","-2.001","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2020","-9.901","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2021","10.442","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2022","5.27","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2023","-1.611","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2024","-3.481","Units"
"Argentina","Gross domestic product (GDP), Constant prices, Percent change","Annual","2025","4.995","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2011","2.361","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2012","1.011","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2013","2.877","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2014","-0.362","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2015","8.887","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2016","4.214","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2017","4.785","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2018","3.416","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2019","-1.676","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2020","-1.338","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2021","2.275","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2022","6.113","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2023","9.451","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2024","2.859","Units"
"Brazil","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2025","4.875","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2011","3.974","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2012","1.921","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2013","3.005","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2014","0.504","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2015","-3.546","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2016","-3.276","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2017","1.323","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2018","1.784","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2019","1.221","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2020","-3.277","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2021","4.763","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2022","3.017","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2023","2.908","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2024","3.044","Units"
"Brazil","Gross domestic product (GDP), Constant prices, Percent change","Annual","2025","2.162","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2011","39.367","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2012","39.31","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2013","39.781","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2014","41.426","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2015","46.191","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2016","45.503","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2017","44.297","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2018","44.181","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2019","43.043","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2020","46.178","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2021","40.371","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2022","43.445","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2023","45.449","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2024","46.235","Units"
"Brazil","Expenditure, General government, Percent of GDP","Annual","2025","46.564","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2011","27.119","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2012","28.159","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2013","28.564","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2014","28.89","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2015","31.552","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2016","32.316","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2017","32.635","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2018","33.277","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2019","34.153","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2020","35.403","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2021","32.686","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2022","33.481","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2023","33.171","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2024","33.858","Units"
"China, People's Republic of","Expenditure, General government, Percent of GDP","Annual","2025","34.126","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2011","10.964","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2012","5.882","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2013","8.76","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2014","4.295","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2015","-2.156","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2016","0.679","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2017","6.954","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2018","4.249","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2019","1.957","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2020","-3.15","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2021","18.517","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2022","-0.241","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2023","1.806","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2024","8.437","Units"
"China, People's Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2025","3.656","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2011","9.551","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2012","7.848","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2013","7.771","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2014","7.391","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2015","7.018","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2016","6.849","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2017","6.947","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2018","6.749","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2019","5.951","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2020","2.242","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2021","8.449","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2022","2.95","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2023","5.25","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2024","4.824","Units"
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2025","4.484","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2011","-6.804","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2012","-8.285","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2013","10.736","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2014","-12.786","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2015","18.821","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2016","-6.492","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2017","2.267","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2018","18.307","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2019","9.685","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2020","-4.637","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2021","-10.629","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2022","30.839","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2023","2.223","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2024","-6.525","Units"
"Egypt, Arab Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2025","4.242","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2011","1.765","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2012","2.226","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2013","3.302","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2014","2.93","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2015","4.36","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2016","4.34","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2017","4.191","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2018","5.327","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2019","5.548","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2020","3.573","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2021","3.253","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2022","6.653","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2023","3.759","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2024","2.672","Units"
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2025","4.081","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2011","30.549","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2012","29.191","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2013","32.886","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2014","33.892","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2015","31.265","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2016","30.968","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2017","30.553","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2018","28.631","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2019","26.898","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2020","25.695","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2021","25.543","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2022","24.701","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2023","22.741","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2024","26.779","Units"
"Egypt, Arab Republic of","Expenditure, General government, Percent of GDP","Annual","2025","27.693","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2011","27.641","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2012","27.364","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2013","26.6","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2014","26.22","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2015","27.059","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2016","27.233","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2017","26.232","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2018","26.328","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2019","26.846","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2020","31.019","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2021","29.706","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2022","29.145","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2023","29.115","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2024","29.04","Units"
"India","Expenditure, General government, Percent of GDP","Annual","2025","28.669","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2011","-1.128","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2012","-2.197","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2013","-19.84","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2014","21.035","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2015","45.813","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2016","14.411","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2017","0.096","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2018","-15.017","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2019","-19.636","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2020","-5.974","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2021","15.873","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2022","4.027","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2023","7.606","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2024","7.393","Units"
"Iran, Islamic Republic of","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","2025","11.84","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2011","16.895","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2012","13.163","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2013","13.306","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2014","14.159","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2015","16.322","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2016","17.038","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2017","17.118","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2018","15.251","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2019","14.14","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2020","13.008","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2021","14.186","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2022","13.862","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2023","14.367","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2024","14.67","Units"
"Iran, Islamic Republic of","Expenditure, General government, Percent of GDP","Annual","2025","14.985","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2011","5.241","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2012","5.456","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2013","6.386","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2014","7.41","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2015","7.996","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2016","8.256","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2017","6.795","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2018","6.454","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2019","3.871","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2020","-5.778","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2021","9.69","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2022","6.987","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2023","8.153","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2024","7.021","Units"
"India","Gross domestic product (GDP), Constant prices, Percent change","Annual","2025","6.461","Units"
"Iran, Islamic Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2011","2.646","Units"
"Iran, Islamic Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2012","-3.747","Units"
"Iran, Islamic Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2013","-1.522","Units"
"Iran, Islamic Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2014","4.985","Units"
"Iran, Islamic Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","2015","-1.425","Units"
